Date,Time,POINT_X,POINT_Y,Class,Video_file,Subst_Orig,Subst_Cla,Sub_Subcl,Sub_Grp,Sub_Subgr,CMECS,Modifier,CMECSMod,Co_oc_el1,CMECS_1,Modifier_1,CMECSMod1,Co_oc_el2,CMECS_2,Modifier_2,CMECSMod2,Co_oc_el3,CMECS_3,Modifier_3,CMECSMod3,Co_oc_el4,CMECS_4,Modifier_4,CMECSMod4,Site_ID,geometry
2016-07-14,03:06 pm,-151.287588432,59.676878862,"Mud, shell 0-<10%, macroalgae 10-<50%, microalgae 50-<90%",KBAY_2016_07_14_GOPRO_322_clip-7.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,Bacterial Mat/Film,2.5.1.2.4,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,2016_322,"c(596438.42258971, 6616670.77975021)"
2016-07-14,02:05 pm,-151.378393377,59.6471743125,"Mud, shell 0-<10%, microalgae 10-<50%, macroalgae 0-<10%",KBAY_2016_07_14_GOPRO_350_clip-10.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,Bacterial Mat/Film,2.5.1.2.4,Percent Cover 10% - <50%,PC03-PC06,NA,NA,NA,NA,2016_350,"c(591406.093462838, 6613235.02137717)"
2016-07-14,01:45 pm,-151.41867738,59.6211682187,"Mud, shell 0-<10%, macroalgae 0-<10%",KBAY_2016_07_14_GOPRO_358_clip-11.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,2016_358,"c(589204.665990623, 6610284.70748428)"
2016-07-14,02:28 pm,-151.3281169,59.6642359522,"Mud, shell 0-<10%, Cobble/gravel 10-<50%, macroalgae 10-<50%, microalgae 50-<90%",KBAY_2016_07_14_GOPRO_387_clip-12.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 10% - <50%,PC03-PC06,Bacterial Mat/Film,2.5.1.2.4,Percent Cover 50% - <90%,PC07-PC10,2016_387,"c(594191.782016963, 6615204.9372086)"
2016-07-14,02:51 pm,-151.305906757,59.6656729704,"Mud, shell 0-<10%, macroalgae 0-<10%",KBAY_2016_07_14_GOPRO_604_clip-17.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,2016_604,"c(595438.795463403, 6615396.65901302)"
2016-07-14,02:18 pm,-151.349544597,59.6534843349,"Mud, shell 0-<10%, macroalgae 0-<10%",KBAY_2016_07_14_GOPRO_610_clip-18.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,2016_610,"c(593014.521159837, 6613977.64741587)"
2016-07-14,03:22 pm,-151.25794416,59.6666015325,"Mud, shell 0-<10%, macroalgae 0-<10%",KBAY_2016_07_14_GOPRO_621_clip-19.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 0% - <10%,PC01-PC02,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,PC01-PC02,NA,NA,NA,NA,NA,NA,NA,NA,2016_621,"c(598137.675525503, 6615569.98252504)"
2017-07-17,09:53 am,-151.498558651,59.5119074496,"Mud, shell 50-<90%, cobble/gravel 0-<10%, macroalgae 0-<10%",KBAY_2017_07_17_GOPRO_189_clip_2.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Mud,NA,S1.2.2.5,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 50% - <90%,PC07-PC10,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 0% - <10%,PC01-PC02,Mixed Kelp Communities,2.5.1.2.4,Percent Cover 0% - <10%,NA,NA,NA,NA,NA,2017_189,"c(584973.960742841, 6598014.82968694)"
2017-07-17,01:34 pm,-151.496694608,59.485780864,"Sand, shell 10-<50%, gravel 0-<10%, macroalgae 0-<10%",KBAY_2017_07_17_GOPRO_117_clip_18.mp4,Geologic,Unconsolidated Mineral Substrate,Fine Unconsolidated Substrate,Sand,NA,S1.2.2.2,NA,NA,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Cobble/Pebble,S1.2.1.1.2/S1.2.1.1.3,Percent Cover 0% - <10%,PC01-PC02,Filamentous Algal Bed,2.5.1.4,Percent Cover 0% - <10%,NA,NA,NA,NA,NA,2017_117,"c(585145.220172875, 6595108.26386726)"
2017-07-17,04:04 pm,-151.432104144,59.5043444312,"Boulder/cobble/gravel 50-<90%, shell 10-<50%, macroalgae 50-<90%",KBAY_2017_07_17_GOPRO_229_clip_32.mp4,Geologic,Unconsolidated Mineral Substrate,Coarse Unconsolidated Substrate,Gravel,Boulder/Cobble/Pebble,S1.2.1.1.1/S1.2.1.1.2/S1.2.1.1.3,Percent Cover 50% - <90%,PC07-PC10,Shell Rubble,S.2.5.2,Percent Cover 10% - <50%,PC03-PC06,Mixed Kelp Communities/Filamentous Algal Bed,2.5.1.2.4/2.5.1.4,Percent Cover 50% - <90%,PC07-PC10,NA,NA,NA,NA,NA,NA,NA,NA,2017_229,"c(588754.309329413, 6597259.58872084)"
