Station,Year,Latitude_DD,Longitude_DD,turbidity_mean,turbidity_sd
3_1,2016,60.007,-152.567,19.4031125,9.171691308409262
3_1,2017,60.007,-152.567,4.534818181818181,0.39161049846859647
3_10,2016,59.863,-152.145,2.8503065217391303,3.190622215253336
3_10,2017,59.863,-152.145,1.1506918367346939,0.07651660178444582
3_11,2016,59.845,-152.093,0.9082140186915888,0.5557367823139986
3_11,2017,59.845,-152.093,0.6899692307692308,0.022526676044264473
3_12,2016,59.827,-152.04,1.0780052083333334,0.48165371167737064
3_12,2017,59.827,-152.04,0.6417582089552238,0.32635626802865614
3_13,2016,59.81,-151.987,1.2090857142857143,0.7116441761585051
3_13,2017,59.81,-151.987,0.6877586206896552,0.5009823269756367
3_14,2016,59.798,-151.958,1.2182597402597404,0.7067747156998213
3_14,2017,59.798,-151.958,0.6808938775510204,0.3530744765674819
3_15,2016,59.79,-151.935,1.1662722222222222,0.5106913236797361
3_15,2017,59.79,-151.935,0.8098794871794872,0.4654970903744711
3_16,2016,59.78,-151.905,1.2782636363636364,0.7322974347977491
3_16,2017,59.78,-151.905,1.2942545454545455,0.8050054354902401
3_17,2016,59.772,-151.883,0.70686,0.10808230608609758
3_2,2016,59.997,-152.537,18.265184146341465,9.752001082025147
3_2,2017,59.997,-152.537,3.78727,0.16402041325858574
3_3,2016,59.987,-152.51,18.329953260869566,9.637395145017042
3_3,2017,59.987,-152.51,4.747878787878788,0.34374269515654404
3_4,2016,59.974,-152.478,17.6457,10.201683983890135
3_4,2017,59.974,-152.478,5.62308,0.23641032330572462
3_5,2016,59.957,-152.422,18.881826086956522,9.451433778029973
3_5,2017,59.957,-152.422,6.1794153846153845,0.3222033552802425
3_6,2016,59.938,-152.368,17.60595357142857,10.215583775537407
3_6,2017,59.938,-152.368,5.695244,1.9214030909792172
3_7,2016,59.918,-152.308,14.324799006622516,8.796147386061012
3_7,2017,59.918,-152.308,3.151716513761468,1.0190767347905834
3_8,2016,59.9,-152.253,9.299033898305085,10.314372502386897
3_8,2017,59.9,-152.253,2.2299569620253163,0.30605313502285686
3_9,2016,59.88,-152.2,3.3991761904761906,4.0759422388515665
3_9,2017,59.88,-152.2,1.1858648648648649,0.1725780398674815
4_1,2016,59.492,-151.65,0.6620044943820225,0.5758832007348903
4_1,2017,59.492,-151.65,0.522414,0.15782358144847838
4_10,2016,59.633,-151.65,0.9960941176470588,0.286964293179873
4_10,2017,59.633,-151.65,1.1093659574468084,0.1991601183192927
4_2,2016,59.508,-151.65,0.6932348547717843,0.3569877245757841
4_2,2017,59.508,-151.65,0.5912475,0.3545613475399636
4_3,2016,59.525,-151.65,0.700872275334608,0.41746382881370864
4_3,2017,59.525,-151.65,0.6493627062706271,0.40480213345158705
4_4,2016,59.542,-151.65,0.6708270142180095,0.32836971303264967
4_4,2017,59.542,-151.65,0.5880779166666666,0.26947862843633086
4_5,2016,59.558,-151.65,0.6731757255936676,0.41658785444056745
4_5,2017,59.558,-151.65,0.5571036036036036,0.3115471057191479
4_6,2016,59.575,-151.65,0.6857393548387096,0.38271291267357377
4_6,2017,59.575,-151.65,0.5555988571428572,0.1797462835094734
4_7,2016,59.592,-151.65,0.591685380116959,0.21188097731912509
4_7,2017,59.592,-151.65,0.6824790000000001,0.3898309349415125
4_8,2016,59.608,-151.65,0.7520598591549296,0.32476913765696414
4_8,2017,59.608,-151.65,0.7754025,0.3238896088605624
4_9,2016,59.625,-151.65,1.0588376923076923,1.0014718490213443
4_9,2017,59.625,-151.65,0.9124621621621621,0.36405979777627856
6_1,2016,59.212,-151.925,0.5190222222222223,0.21845600146737654
6_1,2017,59.212,-151.925,0.36521134020618556,0.3263805367449068
6_10,2016,59.103,-152.335,0.3952436657681941,0.261285971699719
6_10,2017,59.103,-152.335,0.2657788888888889,0.0347264025268876
6_11,2016,59.088,-152.39,0.3809286995515695,0.40532208414245813
6_11,2017,59.088,-152.39,0.3225289719626168,0.37370373014768216
6_12,2016,59.075,-152.445,0.3470988562091503,0.10687121231464934
6_12,2017,59.075,-152.445,0.33832463768115945,0.09207675694536485
6_13,2016,59.06,-152.5,0.36319157088122606,0.12198082417797572
6_14,2016,59.045,-152.555,0.39716283018867926,0.19875591873463921
6_14,2017,59.045,-152.555,0.3252922480620155,0.23305618508889223
6_15,2016,59.03,-152.61,0.36307535211267605,0.14658335738554956
6_15,2017,59.03,-152.61,0.3858375,0.320577828363818
6_16,2016,59.017,-152.665,0.3892835355285962,0.2734119598979827
6_16,2017,59.017,-152.665,0.3378535947712418,0.09235888170477034
6_17,2016,59.002,-152.72,0.35681661129568104,0.1435035411519349
6_17,2017,59.002,-152.72,0.3288,0.10860142379361332
6_18,2016,58.988,-152.773,0.4770918533604888,0.26505423652687343
6_18,2017,58.988,-152.773,0.3812582352941176,0.10891560039177907
6_19,2016,58.973,-152.828,0.4383169696969697,0.27165764988034063
6_19,2017,58.973,-152.828,0.3408729885057471,0.06935776409005787
6_2,2016,59.205,-151.952,0.5466521276595745,0.3842389557672916
6_2,2017,59.205,-151.952,0.3163229166666667,0.04360956576714106
6_20,2016,58.958,-152.883,0.4360183794466403,0.25057111889027245
6_20,2017,58.958,-152.883,0.30844450867052026,0.1581904082898282
6_21,2016,58.945,-152.938,0.44034584615384614,0.23119553884486263
6_21,2017,58.945,-152.938,0.32920778443113774,0.10786283625541136
6_22,2016,58.93,-152.993,0.44360515463917527,0.2245139358497155
6_22,2017,58.93,-152.993,0.28842181818181817,0.052939181709662754
6_23,2016,58.915,-153.048,0.40260776699029127,0.15806728019849056
6_23,2017,58.915,-153.048,0.31170731707317073,0.09954375771856919
6_24,2016,58.902,-153.103,0.39914534161490683,0.14111039303630415
6_24,2017,58.902,-153.103,0.3012451807228916,0.09172801135717976
6_25,2016,58.887,-153.158,0.4934501035196687,0.45784528862302887
6_25,2017,58.887,-153.158,0.2899333333333333,0.05654446045355842
6_26,2016,58.88,-153.185,0.5710701052631579,0.6374485331015866
6_26,2017,58.88,-153.185,0.33850060606060606,0.10639073663197311
6_27,2016,58.872,-153.212,1.12516484375,1.0723363055044102
6_27,2017,58.872,-153.212,0.4252457364341085,0.20533677748691595
6_28,2016,58.869,-153.225,3.8981864864864866,1.7609478510340557
6_28,2017,58.869,-153.225,0.6569429906542056,0.2185489691303822
6_29,2017,58.868883,-153.240167,0.9489731707317073,0.10609270480195666
6_3,2016,59.197,-151.98,0.4640766497461929,0.12315551522041249
6_3,2017,59.197,-151.98,0.29751277372262774,0.053389235078945566
6_4,2016,59.19,-152.007,0.4687581863979849,0.11673492014192208
6_4,2017,59.19,-152.007,0.30458145454545454,0.14468972763312574
6_5,2016,59.175,-152.062,0.44712089552238804,0.19473361781271348
6_5,2017,59.175,-152.062,0.31104677419354837,0.18193469132756634
